repetition,featureset,total_samples,correct_predictions,top_1_accuracy,majority_baseline
1,d2v,54,20,0.37037037037037035,0.42592592592592593
2,d2v,54,26,0.48148148148148145,0.42592592592592593
3,d2v,54,28,0.5185185185185185,0.42592592592592593
4,d2v,54,25,0.46296296296296297,0.42592592592592593
5,d2v,54,25,0.46296296296296297,0.42592592592592593
6,d2v,54,25,0.46296296296296297,0.42592592592592593
7,d2v,54,25,0.46296296296296297,0.42592592592592593
8,d2v,54,22,0.4074074074074074,0.42592592592592593
9,d2v,54,26,0.48148148148148145,0.42592592592592593
10,d2v,54,25,0.46296296296296297,0.42592592592592593
1,traditional,54,31,0.5740740740740741,0.42592592592592593
2,traditional,54,26,0.48148148148148145,0.42592592592592593
3,traditional,54,28,0.5185185185185185,0.42592592592592593
4,traditional,54,25,0.46296296296296297,0.42592592592592593
5,traditional,54,27,0.5,0.42592592592592593
6,traditional,54,28,0.5185185185185185,0.42592592592592593
7,traditional,54,29,0.5370370370370371,0.42592592592592593
8,traditional,54,28,0.5185185185185185,0.42592592592592593
9,traditional,54,29,0.5370370370370371,0.42592592592592593
10,traditional,54,26,0.48148148148148145,0.42592592592592593
1,hybrid,54,30,0.5555555555555556,0.42592592592592593
2,hybrid,54,31,0.5740740740740741,0.42592592592592593
3,hybrid,54,28,0.5185185185185185,0.42592592592592593
4,hybrid,54,30,0.5555555555555556,0.42592592592592593
5,hybrid,54,29,0.5370370370370371,0.42592592592592593
6,hybrid,54,29,0.5370370370370371,0.42592592592592593
7,hybrid,54,28,0.5185185185185185,0.42592592592592593
8,hybrid,54,26,0.48148148148148145,0.42592592592592593
9,hybrid,54,25,0.46296296296296297,0.42592592592592593
10,hybrid,54,30,0.5555555555555556,0.42592592592592593
