repetition,mae,mse,r2
1,0.058222396188922124,0.009140101788175712,0.6738138439492805
2,0.05813754267335915,0.009425538046352636,0.6618637616066307
3,0.0576046072919971,0.00911941999589764,0.6775627962679046
4,0.057440509968105916,0.009326680883538035,0.6624918334296479
5,0.059050541933890976,0.009581398259293973,0.6553977391349634
6,0.05741586091831831,0.009370450987798224,0.6695178644448485
7,0.05622611990752091,0.008984243100857195,0.6810480942466138
8,0.05713464176844925,0.009304108631579277,0.6720900315425162
9,0.05851317118028117,0.009322624704885445,0.6721729958169033
10,0.05771371929478558,0.00914089102816076,0.673895481480114
