dataset_id,random_forest,support_vector_machine,linear_models,xgboost,decision_tree
1494,0.8644745,0.869582,0.8701778310790491,0.854634,0.768016
1050,0.8745675049853264,0.8628215,0.8614295000000001,0.875139,0.84921
1068,0.9259595,0.9117489999999999,0.9093809517536666,0.910533,0.897101
40975,0.966337112782335,1.0,0.895886274103543,0.9991317084978748,0.8030747768171991
40927,0.40674041485055884,,,,0.22383115400975945
1461,0.8996911496192026,0.8843905956800985,0.885146,0.887799,0.8901695997274315
1468,0.8715916450126022,0.910887389956123,0.9530314417492776,0.6601910615944695,0.8276206473772297
1067,0.8443035000000001,0.8206243166239671,0.8281555,0.8287995,0.7757705
554,0.9643521276836478,0.9810266057464052,0.9295957206219851,0.8915208141812638,0.8812383938459012
32,0.9909479999999999,0.9958598191700342,0.9355797426416104,0.9216573190977393,0.9633950286458458
50,0.9879445642419894,0.9984334142736406,0.983198,0.983732,0.9306185794967012
3,0.9946808882236571,0.9954632307830587,0.9646483004746446,0.9759095,0.9440515
182,0.9135555,0.9149656548357064,0.8111953941812076,0.8650399995406542,0.8630901105942794
1501,0.9137278739231878,0.9511668444347069,0.9198795861840618,0.752540238645131,0.7471474946893253
1590,0.860386149770713,0.8458742305664743,0.846240751576263,0.8188586922196153,0.8456194599565261
18,0.7160061580904422,0.7400164503358402,0.7390948924446128,0.6738641215445174,0.7063069485901748
40670,0.9536647478142286,0.9577479335637915,0.954979341732872,0.9636906771048273,0.955880514855334
16,0.9610319469921291,0.9785238829250692,0.9529246458302396,0.8701117415799371,0.8106864275340089
29,0.8687188112133708,0.8583517299573569,0.8626549854597617,0.8670233703596772,0.8624412639991955
11,0.8113081833308122,0.9650657977729185,,0.826391356542617,0.7799666218713383
23517,0.5150849334414385,0.5200922324263525,0.5185701073057667,0.5128535040129084,0.501463616903991
44,0.9452026399208486,0.9269185,0.9241205155745985,0.9323595,0.8557444999999999
28,0.9795438386425579,0.9890680551287221,0.9654199030268956,0.9252300940339064,0.9058301994017544
40994,0.9326925925925929,0.9532588750038093,0.9617547864384204,0.9394266309173886,0.9000576968110459
1475,0.6179214802114192,0.5546853637233236,0.4310570451584735,0.5010725029746959,0.5411520363810128
1486,0.9673499999999999,0.9622595239324122,0.9492839194723596,0.9629989999999999,0.9516516353651552
41027,0.8240185576558796,0.8438612321471805,0.6502405922648147,0.8737028721150675,0.7902919184164012
40966,0.9870419270736766,0.9972223695000354,0.9930596754207563,0.98981262319692,0.8529804224494362
4538,0.6636371615110603,0.5519493621047957,0.4162086873170006,0.4271190068024082,0.5227387651956013
1489,0.8967139334934002,0.8783800689538721,0.7391610457153395,0.8627575000000001,0.790924
469,0.21214178704211176,0.2135575892783067,0.22222294893526745,0.1729622896260773,0.20797173460013046
1487,0.926887,0.9309100425791264,0.9291815000000001,0.933395,0.9210683195507502
1480,0.6751865,0.6216185,0.673479,0.6748923791090002,0.594268
458,0.9809747774580835,0.9964328085471899,0.9988108696526588,0.952798562082405,0.9409907881732643
40982,0.8013583501466884,0.7609265556392424,0.7110863473934155,0.8052575424124431,0.7170142479283552
1053,0.7839642286987898,0.7703458973936448,0.7591718986063145,0.7277978637664895,0.7732715916476074
40978,,0.9621154382651289,0.952606266340776,0.9755916320990545,0.964528
1497,0.9963318608342075,0.9254659200172852,0.6870312830631042,0.9706490561536611,0.9944985528441022
1464,0.7610334999999999,0.711839,0.7040245,0.707391,0.659117
1063,0.8367787314838822,0.817241,0.8266005,0.830768,0.849928
40979,0.9732595940759559,0.9817650717545563,0.9617563700258758,0.973977671601404,0.8653211163672527
40984,0.9388336446275679,0.9201990048802788,0.8550803888697288,0.9405827768016584,0.9206504305743004
40983,0.9827256491348166,0.9870574852438151,0.9657522995925378,0.9841322163984572,0.9786523880743134
40923,0.8560317623942498,0.9068629793153491,,,0.5992396625697443
1462,0.991257,1.0,0.9810763885414936,0.988342,0.8945295
151,0.9170825857021645,0.7999544753026551,0.7472315,0.885229,0.74862
1510,0.959559,0.9770955229229212,0.9770960211538252,0.9595162080766884,0.9198648799876747
54,0.7424496808398454,0.8258654319994572,0.7874490317900791,0.6074180286238645,0.721285798404737
38,0.9864475229965037,0.9719740915959364,0.9531395,0.9626354419217998,0.9887651696626503
40668,0.8017537389122835,0.7764402640660257,0.7167187726496158,0.6769587483874491,0.7661655476237224
6,0.9573986790572497,0.977550565323489,0.7221304347257487,0.6248953527643464,0.8818561502842075
31,0.7517255,0.73106,0.7463519999999999,0.746816,0.576471
37,0.7696614900591059,0.76419,0.7699374999999999,0.763542,0.7312520093087873
40499,0.9724078305258411,0.9985453560902224,0.9970915189370748,0.8068998011887739,0.9239590057438565
6332,0.8150041305677325,0.8045230618436133,0.7582771450695979,0.846885081140549,0.7216159473278103
300,0.9450330763028563,0.9709977549327461,0.9566441153615236,0.8714133815647118,0.8227017928549174
307,0.9676169502478638,0.9949261650731824,0.6448492081465915,0.5174995833658155,0.734047296931985
23,0.5590379995997528,0.5189615066181757,0.5082872099812066,0.5329108989905385,0.5422045063961296
12,0.9647887200063896,0.9802600169079313,0.9797544406182501,0.9186562328666497,0.8787305400860921
15,0.971482243442767,0.9678807165430872,0.965665236051502,0.9620791526403687,0.9442869013976596
46,0.9601521437687706,0.9643477756508022,0.9589002095914201,0.9414587209489917,0.9420128203987614
188,0.6718670087677727,0.651239909327763,0.6065054935940113,0.5891909005054558,0.6262873638809662
23381,0.6029607849311733,0.5787611676710729,0.6135418900938505,0.5537526546008462,0.605247376205104
14,0.8435744099106819,0.843559788814513,0.829200121641271,0.7414605148671457,0.7610883932658563
22,0.7571889196015871,0.8480571434325397,0.8214793382990014,0.7249568012784926,0.6850610207948242
1485,0.8597961324217557,0.5871144992859085,0.5949964999999999,0.70496,0.7659224795588451
1478,0.9791736078750028,0.986600053788043,0.984951670169654,0.9406176517018786,0.9421442429911984
4534,0.9607561515426468,0.971714816963279,0.9389677730459722,0.9749267172410192,0.888689
4134,0.8076710489130525,0.7590588742338518,0.7709338836160371,0.7986285,0.737229
40996,0.8722803825847731,0.8810551893319571,0.847517774934871,0.9008823228550058,0.799083354595515
1049,0.896695682652588,0.8973504999999999,0.8955896771158816,0.9013690000000001,0.820841
40701,0.9530615504733762,0.9295642673123143,0.8304098484374943,0.9571434069379992,0.8614389777185268
